"accident_index","longitude","latitude","severity","number_of_casualties","district","speed_limit","road_class","police_force"
"2023010419171","-0.202878","51.418974","Slight","1","Merton","20","C","1"
"2023010419183","-0.042464","51.671155","Slight","2","Enfield","30","Unclassified","1"
"2023010419189","-0.435789","51.487777","Slight","1","Hillingdon","30","Unclassified","1"
"2023010419191","-0.263972","51.597575","Slight","1","Barnet","30","Unclassified","1"
"2023010419192","-0.168976","51.477324","Slight","1","Wandsworth","30","Unclassified","1"
"2023010419198","-0.201941","51.545349","Slight","1","Camden","30","Not at junction or within 20 metres","1"
"2023010419201","-0.097014","51.499145","Slight","1","Southwark","20","A","1"
"2023010419205","0.072337","51.526805","Slight","1","Newham","50","Not at junction or within 20 metres","1"
"2023010419209","-0.072322","51.583379","Slight","1","Haringey","20","Not at junction or within 20 metres","1"
"2023010419223","-0.382585","51.479143","Slight","1","Hounslow","20","Unclassified","1"
"2023010419228","-0.056268","51.539465","Slight","3","Hackney","20","Unclassified","1"
"2023010419245","-0.075251","51.549921","Slight","1","Hackney","20","C","1"
"2023010419259","-0.091059","51.550279","Slight","3","Islington","20","Unclassified","1"
"2023010419261","0.066341","51.574905","Slight","1","Redbridge","30","Unclassified","1"
"2023010419263","-0.012912","51.575392","Slight","1","Waltham Forest","20","A","1"
"2023010419270","-0.112305","51.481946","Slight","1","Lambeth","20","A","1"
"2023010419272","-0.003863","51.424377","Slight","1","Lewisham","30","C","1"
"2023010419274","-0.123808","51.579187","Slight","1","Haringey","20","Unclassified","1"
"2023010419278","-0.095656","51.570757","Slight","1","Hackney","30","A","1"
"2023010419280","-0.217174","51.460711","Slight","1","Wandsworth","20","A","1"
"2023010419281","-0.191108","51.548662","Serious","2","Camden","30","Not at junction or within 20 metres","1"
"2023010419282","-0.126067","51.542516","Slight","1","Camden","20","Unclassified","1"
"2023010419297","0.032626","51.542508","Slight","1","Newham","30","Unclassified","1"
"2023010419301","-0.065642","51.555429","Slight","1","Hackney","20","Unclassified","1"
"2023010419302","-0.122453","51.530804","Slight","1","Islington","20","A","1"
"2023010419303","-0.053959","51.439042","Slight","2","Lewisham","30","A","1"
"2023010419304","0.025908","51.545466","Slight","1","Newham","30","Unclassified","1"
"2023010419305","-0.381014","51.437693","Slight","1","Hounslow","30","Unclassified","1"
